eventID,eventName,organiserID,venueID,eventDate,startTime,endTime,regDue,eventDescription
3,Startup Meet 129,9,92,04-08-2029,23:21:20,07:21:20,21:21:20,Networking event for entrepreneurs
4,Startup Meet 181,37,79,19-12-2030,12:07:19,20:07:19,10:07:19,Pitch competition for new startups
6,Sports Meet 274,31,19,08-12-2030,12:20:41,20:20:41,10:20:41,Annual inter-college sports tournament
7,Music Fest 298,44,68,24-12-2029,01:00:19,09:00:19,23:00:19,Live music performances festival
8,Seminar 39,22,76,15-06-2027,03:26:53,11:26:53,01:26:53,Industry expert seminar series
10,Sports Meet 286,28,41,04-05-2028,22:54:48,06:54:48,20:54:48,Track and field championship
11,Seminar 176,22,81,08-11-2027,05:45:56,13:45:56,03:45:56,Research methodology workshop
13,Music Fest 248,38,30,27-03-2028,16:10:27,00:10:27,14:10:27,Spring music celebration
14,Music Fest 155,38,72,12-10-2029,23:48:08,07:48:08,21:48:08,Jazz and blues festival
15,Tech Fest 247,9,81,03-05-2027,18:37:17,02:37:17,16:37:17,Technology innovation showcase
16,AI Workshop 17,24,70,08-05-2028,19:13:06,03:13:06,17:13:06,Deep learning practical workshop
17,Hackathon 136,1,32,26-09-2029,15:40:25,23:40:25,13:40:25,24-hour coding challenge
18,AI Workshop 87,21,95,09-05-2029,12:58:28,20:58:28,10:58:28,Natural language processing workshop
19,Seminar 149,34,65,22-09-2029,22:38:42,06:38:42,20:38:42,Leadership development seminar
21,Music Fest 13,46,64,04-07-2030,16:54:06,00:54:06,14:54:06,Summer music extravaganza
22,Seminar 226,32,47,20-05-2029,10:44:23,18:44:23,08:44:23,Business strategy seminar
23,AI Workshop 106,34,60,17-03-2027,07:44:52,15:44:52,05:44:52,Computer vision techniques
24,Robotics Expo 151,10,82,03-07-2026,18:40:00,02:40:00,16:40:00,Autonomous systems exhibition
25,Music Fest 233,3,46,22-11-2028,19:52:39,03:52:39,17:52:39,Classical music concert series
28,Seminar 15,10,17,13-02-2029,22:27:41,06:27:41,20:27:41,Career development workshop
29,Tech Fest 115,35,13,17-11-2028,15:09:52,23:09:52,13:09:52,Technology and society conference
31,Sports Meet 147,19,2,05-11-2030,00:23:27,08:23:27,22:23:27,Basketball tournament finals
32,Hackathon 136,31,67,18-10-2029,16:03:55,00:03:55,14:03:55,AI innovation hackathon
33,Sports Meet 126,39,5,07-12-2026,10:36:08,18:36:08,08:36:08,Cricket championship match
35,Tech Fest 204,33,59,12-03-2030,21:34:04,05:34:04,19:34:04,Emerging technologies expo
36,Cultural Night 36,24,68,23-01-2026,06:40:02,14:40:02,04:40:02,International cultural celebration
37,Seminar 211,34,20,26-02-2027,16:51:57,00:51:57,14:51:57,Digital marketing strategies
39,Tech Fest 16,50,19,04-08-2028,05:44:56,13:44:56,03:44:56,Cybersecurity conference
40,Seminar 207,14,85,05-01-2027,15:36:37,23:36:37,13:36:37,Financial planning workshop
41,Tech Fest 32,3,21,18-02-2028,07:19:30,15:19:30,05:19:30,Blockchain technology summit
42,Sports Meet 48,20,28,07-10-2028,12:41:40,20:41:40,10:41:40,Football league finals
43,AI Workshop 133,8,63,12-06-2027,01:48:17,09:48:17,23:48:17,Reinforcement learning workshop
44,Startup Meet 153,50,83,25-10-2026,10:49:33,18:49:33,08:49:33,Scale-up strategy session
45,Robotics Expo 206,4,1,07-08-2027,09:58:42,17:58:42,07:58:42,Industrial robotics showcase
46,AI Workshop 127,16,95,26-07-2030,08:29:43,16:29:43,06:29:43,Neural networks fundamentals
48,Cultural Night 234,42,82,17-12-2029,19:11:40,03:11:40,17:11:40,Traditional arts showcase
49,Music Fest 164,43,62,08-12-2027,23:26:49,07:26:49,21:26:49,Indie music festival
50,Robotics Expo 202,42,32,11-12-2027,10:25:15,18:25:15,08:25:15,Medical robotics exhibition
51,Sports Meet 250,9,22,24-06-2028,09:34:39,17:34:39,07:34:39,Tennis championship
52,Sports Meet 12,9,19,03-08-2026,04:35:41,12:35:41,02:35:41,Volleyball tournament
53,Cultural Night 26,7,29,24-09-2029,14:07:15,22:07:15,12:07:15,Folk dance competition
56,Hackathon 241,14,45,25-12-2028,02:01:12,10:01:12,00:01:12,Web development challenge
58,Seminar 152,11,40,12-02-2029,07:48:17,15:48:17,05:48:17,Project management certification
60,Hackathon 234,31,15,13-02-2026,05:19:11,13:19:11,03:19:11,Game development jam
61,AI Workshop 228,46,21,04-11-2030,09:10:10,17:10:10,07:10:10,AI ethics and governance
62,Seminar 195,43,78,09-08-2026,22:21:01,06:21:01,20:21:01,Sustainability in business
63,Music Fest 193,17,28,10-07-2026,03:22:31,11:22:31,01:22:31,World music festival
64,Sports Meet 149,31,47,08-05-2030,01:15:21,09:15:21,23:15:21,Badminton championship
65,Seminar 118,23,61,28-02-2027,14:53:49,22:53:49,12:53:49,Communication skills workshop
66,Tech Fest 24,46,66,16-01-2028,12:59:46,20:59:46,10:59:46,Cloud computing conference
67,Startup Meet 244,29,92,01-12-2029,20:31:11,04:31:11,18:31:11,Product launch event
68,Startup Meet 260,21,53,26-10-2027,14:26:35,22:26:35,12:26:35,Growth hacking workshop
69,Robotics Expo 225,43,58,21-02-2030,23:29:00,07:29:00,21:29:00,Drone technology showcase
